hhid,s1q2,s4q10,s4q11,s4q12,s4q13,s4q14,s4q15,s4q16,s4q17,s4q18,s4q19,s4q20,s4q21,s4q22,s4q23,s4q24,hhsize,weight,popweight
"0010","Village 1",0,0,2400,0,6000,3000,2000.000061,0,2000.000061,1500,1399.999969,799.9999695,0,0,0,5,5.557168,27.78584
"0011","Village 1",0,0,200,0,0,0,0,0,0,0,0,20,0,0,0,6,5.557168,33.34301
"0012","Village 1",0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,6,5.557168,33.34301
"0014","Village 1",0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,14,5.557168,77.80036
"0015","Village 1",7000,0,0,0,0,0,2000,0,500,0,0,0,0,0,0,2,5.557168,11.11434
"0021","Village 1",0,0,650,0,0,0,0,0,0,0,0,0,0,0,75,6,5.557168,33.34301
"0025","Village 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.557168,5.557168
"0031","Village 1",0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,4,5.557168,22.22867
"0033","Village 1",0,1500,120,0,0,0,0,0,0,0,0,0,0,0,0,2,5.557168,11.11434
"0034","Village 1",0,0,4000,0,0,0,0,0,0,0,0,500,0,0,0,5,5.557168,27.78584
"0039","Village 1",0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,5,5.557168,27.78584
"0042","Village 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.557168,16.6715
"0046","Village 1",0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,5,5.557168,27.78584
"0050","Village 1",0,125,500,0,0,0,0,0,0,0,0,0,0,0,0,11,5.557168,61.12885
"0051","Village 1",0,0,720,0,0,0,0,0,0,0,0,0,79.99999809,0,0,9,5.557168,50.01451
"0057","Village 1",0,0,800,0,0,0,0,0,0,0,700,0,0,0,0,4,5.557168,22.22867
"0072","Village 1",0,0,159.9999962,0,0,0,0,0,0,0,0,0,150,0,0,8,5.557168,44.45735
"0092","Village 1",0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,9,5.557168,50.01451
"0095","Village 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5.557168,33.34301
