hhid,s1q2,s12q12,s12q12a,s12q12b,s12q12a_1,s12q13,s12q13a,s12q13b,s12q13a_1,s12q14,s12q14a,s12q14b,s12q14a_1,s12q15,s12q15a,s12q15b,s12q15a_1,s12q16,s12q16a,s12q16b,s12q16a_1,s12q17,s12q17a,s12q17b,s12q18,s12q18a,s12q18b,s12q19,s12q19a,s12q19b,s12q20,s12q20a,s12q20b,s12q21,s12q21a,s12q21b,hhsize,weight
"0010","Village 1","Yes",1,250,"Bundle","No",,,,"No",,,,"Yes",1,0,"Debe/Bucket","Yes",3,750,"Debe/Bucket","No",,,"No",,,"No",,,"No",,,"No",,,5,5.557168
"0011","Village 1","No",,,,"Yes",3,300,"Bundle","No",,,,"No",,,,"Yes",1,250,"Debe/Bucket","No",,,"No",,,"No",,,"No",,,,,,6,5.557168
"0012","Village 1","No",,,,"No",,,,"No",,,,"No",,,,"Yes",1,200,"Debe/Bucket","No",,,"No",,,"No",,,"No",,,"No",,,6,5.557168
"0014","Village 1","Yes",1,120,"Bundle","No",,,,"No",,,,"No",,,,"Yes",1,120,"Debe/Bucket","No",,,"No",,,"No",,,"No",,,"No",,,14,5.557168
"0015","Village 1","No",,,,"No",,,,"No",,,,"No",,,,"Yes",1,600,"Sack","No",,,"No",,,"No",,,"No",,,"No",,,2,5.557168
"0021","Village 1","No",,,,"No",,,,"No",,,,"Don't Know",,,,"Yes",1,800,"Sack","No",,,"No",,,"No",,,"No",,,"No",,,6,5.557168
"0025","Village 1","No",,,,"Yes",2,3,"Bundle","No",,,,"No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,1,5.557168
"0031","Village 1","No",,,,"Yes",4,200,"Bundle","No",,,,"No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,4,5.557168
"0033","Village 1","No",,,,"Yes",2,100,"Bundle","No",,,,"No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,2,5.557168
"0034","Village 1","No",,,,"No",,,,"No",,,,"No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,5,5.557168
"0039","Village 1","No",,,,"No",,,,"No",,,,"No",,,,"Yes",1,250,"Debe/Bucket","No",,,"No",,,"No",,,"No",,,"No",,,5,5.557168
"0042","Village 1","Yes",1,250,"Bundle","No",,,,"No",,,,"No",,,,"Yes",1,250,"Tin","No",,,"No",,,"No",,,"No",,,"No",,,3,5.557168
"0046","Village 1","No",,,,"No",,,,"No",,,,"No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,5,5.557168
"0050","Village 1","Yes",1,200,"Bundle","No",,,,"No",,,,"No",,,,"Yes",1,250,"Debe/Bucket","No",,,"No",,,"No",,,"No",,,"No",,,11,5.557168
"0051","Village 1","No",,,,"Yes",0,0,"Bundle","No",,,,"No",,,,"Yes",1,500,"Bundle","No",,,"No",,,"No",,,"No",,,"No",,,9,5.557168
"0057","Village 1","Yes",1,200,"Bundle","No",,,,"No",,,,"No",,,,"Yes",1,150,"Debe/Bucket","No",,,"No",,,"No",,,"No",,,"No",,,4,5.557168
"0072","Village 1","No",,,,"No",,,,"No",,,,"No",,,,"Yes",1,200,"Bundle","No",,,"No",,,"No",,,"No",,,"No",,,8,5.557168
"0092","Village 1","Yes",1,250,"Bundle","Yes",6,300,"Bundle","Yes",2,0,"Bundle","No",,,,"Yes",25,250,"Kilogram","No",,,"No",,,"No",,,"No",,,"No",,,9,5.557168
"0095","Village 1","No",,,,"No",,,,"No",,,,"No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,6,5.557168
"0101","Village 1","No",,,,"Yes",8,400,"Bundle","No",,,,"No",,,,"Yes",2,2400,"Sack","No",,,"No",,,"No",,,"No",,,"No",,,10,5.557168
"0103","Village 1","No",,,,"Yes",8,400,"Bundle","No",,,,"No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,8,5.557168
"0106","Village 1","No",,,,"Yes",7,350,"Bundle","No",,,,"No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,11,5.557168
"0107","Village 1","Yes",1,250,"Bundle","No",,,,"No",,,,"No",,,,"Yes",1,250,"Tin","No",,,"No",,,"No",,,"No",,,"No",,,7,5.557168
"0117","Village 1","Yes",2,200,"Debe/Bucket","No",,,,"No",,,,"No",,,,"Yes",1,600,"Sack","No",,,"No",,,"No",,,"No",,,"No",,,9,5.557168
"0118","Village 1","Yes",1,250,"Bundle","No",,,,"No",,,,"No",,,,"Yes",1,200,"Tin","No",,,"No",,,"No",,,"No",,,"No",,,5,5.557168
"0119","Village 1","Yes",1,200,"Bundle","No",,,,"No",,,,"No",,,,"Yes",1,700,"Bunch","No",,,"No",,,"No",,,"No",,,"No",,,2,5.557168
"0125","Village 1","Yes",2,300,"Bundle","Yes",7,350,"Bundle","No",,,,"No",,,,"Yes",2,600,"Sack","No",,,"No",,,"No",,,"No",,,"No",,,7,5.557168
"0127","Village 1","Yes",1,350,"Bundle","No",,,,"No",,,,"No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,8,5.557168
"0135","Village 1","No",,,,"No",,,,"No",,,,"No",,,,"Yes",1,250,"Tin","No",,,"No",,,"No",,,"No",,,"No",,,10,5.557168
"0138","Village 1","No",,,,"Yes",8,400,"Heap","No",,,,"No",,,,"Yes",1,200,"Heap","No",,,"No",,,"No",,,"No",,,"No",,,6,5.557168
"0145","Village 1","No",,,,"No",,,,"No",,,,"No",,,,"Yes",1,500,"Sack","No",,,"No",,,"No",,,"No",,,"No",,,4,5.557168
"0154","Village 1","Yes",1,200,"Bundle","No",,,,"No",,,,"No",,,,"Yes",75,800,"Kilogram","No",,,"No",,,"No",,,"No",,,"No",,,7,5.557168
"0155","Village 1","No",,,,"No",,,,"No",,,,"No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,9,5.557168
"0166","Village 1","No",,,,"No",,,,"No",,,,"No",,,,"Yes",3,600,"Debe/Bucket","No",,,"No",,,"No",,,"No",,,"No",,,4,5.557168
"0167","Village 1","Yes",1,200,"Bundle","No",,,,"Yes",2,0,"Sack","No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,6,5.557168
"0168","Village 1","No",,,,"Yes",1,50,"Bundle","No",,,,"No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,5,5.557168
"0169","Village 1","No",,,,"Yes",1,50,"Bunch","No",,,,"No",,,,"Yes",1,200,"Tin","No",,,"No",,,"No",,,"No",,,"No",,,7,5.557168
"0172","Village 1","Yes",20,200,"Bunch","Yes",25,200,"Bundle","No",,,,"No",,,,"No",,,,"No",,,"Don't Know",,,"No",,,"No",,,"No",,,3,5.557168
"0174","Village 1","No",,,,"Yes",5,250,"Bundle","No",,,,"No",,,,"Yes",2,200,"Debe/Bucket","No",,,"No",,,"No",,,"No",,,"No",,,5,5.557168
"0177","Village 1","Yes",5,250,"Heap","Yes",0,0,"Heap","No",,,,"No",,,,"Yes",4,1000,"Debe/Bucket","No",,,"No",,,"No",,,"No",,,"No",,,6,5.557168
"0179","Village 1","Yes",3,100,"Bundle","Yes",1,100,"Bundle","No",,,,"No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,5,5.557168
"0180","Village 1","Yes",3,100,"Bundle","No",,,,"No",,,,"No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,2,5.557168
"0181","Village 1","Yes",1,500,"Bundle","No",,,,"No",,,,"No",,,,"Yes",2,500,"Debe/Bucket","No",,,"No",,,"No",,,"No",,,"No",,,10,5.557168
"0184","Village 1","Yes",1,,"Bundle","No",,,,"No",,,,"No",,,,"Yes",1,,"Debe/Bucket","No",,,"No",,,"No",,,"No",,,"No",,,5,5.557168
"0186","Village 1","No",,,,"No",,,,"No",,,,"No",,,,"Yes",1,250,"Debe/Bucket","No",,,"No",,,"No",,,"No",,,"No",,,8,5.557168
"0188","Village 1","Yes",100,300,"Bundle","Yes",1,100,"Bundle","No",,,,"No",,,,"Yes",140,400,"Debe/Bucket","No",,,"No",,,"Don't Know",,,"No",,,"No",,,14,5.557168
"0191","Village 1","Yes",1,250,"Bundle","No",,,,"No",,,,"No",,,,"Yes",1,750,"Sack","No",,,"No",,,"No",,,"No",,,"No",,,10,5.557168
"0211","Village 1","Yes",2,300,"Bundle","No",,,,"No",,,,"No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,8,5.557168
"0217","Village 1","No",,,,"No",,,,"No",,,,"No",,,,"Yes",2,500,"Debe/Bucket","No",,,"No",,,"No",,,"No",,,"No",,,8,5.557168
"0230","Village 1","Yes",1,250,"Bundle","No",,,,"No",,,,"No",,,,"No",,,,"No",,,"No",,,"No",,,"No",,,"No",,,10,5.557168
