hhid,s1q2,hhsize,hhmod,mod_opt,item_id,item_name,s12q1,s12q2,s12q2_a,s12q4,s12q5,s12q6,s12q6_1,s12q6_a,s12q7,wfp,purc_conv2kg,purc_q_kg,purc_q_kg_pc,purc_uv,national_uv_2015_16,purc_uv_med_2018_19,cons_conv2kg,cons_q_kg,cons_q_kg_pc,fcons_value,fcons_value_capita,weight,popweight
"0010","Village 1",5,1,"core",111,"FORTIFIED MAIZE FLOUR","Yes",24,"Kgs",1700,"Yes",2,"Kgs",,"Yes","No",1,24,4.8,70.83,55,64.16376,1,2,.4,128.3275,25.66551,5.557168,27.78584
"0010","Village 1",5,1,"core",101,"AROMATIC UNBROKEN RICE (PISHORI/BASMATI E.T.C)","Yes",11,"Kgs",1150,"Yes",1,"Kgs",,"Yes","No",1,11,2.2,104.55,120,139.9937,1,1,.2,139.9937,27.99873,5.557168,27.78584
"0010","Village 1",5,1,"core",702,"ONION - BULBS","Yes",2,"Kgs",240,"Yes",7,"Pcs",7,"Yes","Yes",1,2,.4,120,100,116.6614,.28,1.96,.392,228.6563,45.73127,5.557168,27.78584
"0010","Village 1",5,1," option 1",1012,"BAKING POWDER /BICARBONATE","Yes",400,"Grams",200,"Yes",10,"Grams",,"Yes","No",.001,.4,.08,500,250,291.6535,.001,.01,.002,2.916535,.583307,5.557168,27.78584
"0010","Village 1",5,1,"core",703,"CABBAGES","Yes",1,"Heap",100,"Yes",1,"Heap",,"Yes","No",.5,.5,.1,200,22.22222,25.92476,.5,.5,.1,12.96238,2.592475,5.557168,27.78584
"0010","Village 1",5,1," option 1",1005,"FOOD SEASONING (E.G. ROYCO, KNORR, ETC)","Yes",5000,"Grams",250,"Yes",200,"Grams",,"Yes","No",.001,5,1,50,500,583.3069,.001,.2,.04,116.6614,23.33228,5.557168,27.78584
"0010","Village 1",5,1,"core",149,"PASTA (SPAGHETTI, MACARONI, NOODLES E.G. INDOMIE)","Yes",400,"Grams",200,"Yes",200,"Grams",,"Yes","No",.001,.4,.08,500,140,163.3259,.001,.2,.04,32.66519,6.533038,5.557168,27.78584
"0010","Village 1",5,1,"core",1102,"TEA LEAVES","Yes",400,"Grams",40,"Yes",10,"Grams",7,"Yes","Yes",.001,.4,.08,100,500,583.3069,.001,.01,.002,5.83307,1.166614,5.557168,27.78584
"0010","Village 1",5,1,"core",137,"COWPEAS","Yes",4,"Kgs",400,"Yes",2,"Kgs",3,"Yes","Yes",1,4,.8,100,80,93.32911,1,2,.4,186.6582,37.33164,5.557168,27.78584
"0010","Village 1",5,1,"core",129,"BEANS","Yes",7,"Kgs",700,"Yes",3,"Kgs",3,"Yes","Yes",1,7,1.4,100,80,93.32911,1,3,.6,279.9873,55.99747,5.557168,27.78584
"0010","Village 1",5,1,"core",902,"SUGAR","Yes",1,"Kgs",150,"Yes",1,"Kgs",3,"Yes","Yes",1,1,.2,150,100,116.6614,1,1,.2,116.6614,23.33228,5.557168,27.78584
"0010","Village 1",5,1,"core",1001,"COMMON SALT","Yes",1500,"Grams",60,"Yes",500,"Grams",,"Yes","No",.001,1.5,.3,40,40,46.66455,.001,.5,.1,23.33228,4.666455,5.557168,27.78584
"0010","Village 1",5,1,"core",108,"MAIZE FLOUR - LOOSE","Yes",5,"Kgs",250,"Yes",5,"Kgs",2,"Yes","Yes",1,5,1,50,50,58.3307,1,5,1,291.6535,58.3307,5.557168,27.78584
"0010","Village 1",5,1,"core",507,"COOKING OIL","Yes",5,"Ltrs",2,"Yes",2,"Ltrs",7,"Yes","Yes",1,5,1,.4,160,186.6582,1,2,.4,373.3164,74.66328,5.557168,27.78584
"0010","Village 1",5,1,"core",304,"OMENA","Yes",1,"Kgs",400,"Yes",1,"Kgs",3,"Yes","Yes",.125,1,.2,1333.33,291.6667,340.2624,1,1,.2,340.2624,68.05247,5.557168,27.78584
"0010","Village 1",5,1,"core",105,"MAIZE GRAIN - LOOSE","Yes",50,"Kgs",1400,"Yes",5,"Kgs",,"Yes","No",1,50,10,28,35,40.83149,1,5,1,204.1574,40.83149,5.557168,27.78584
"0010","Village 1",5,1,"core",112,"COST OF MILLING","Yes",,,400,,,,,,,,,,,30,34.99842,,,,0,0,5.557168,27.78584
"0011","Village 1",6,2,"core",304,"OMENA","Yes",2,"Kgs",800,"Yes",500,"Grams",2,"Yes","Yes",1,2,.3333333,400,291.6667,340.2624,.001,.5,.0833333,170.1312,28.3552,5.557168,33.34301
"0011","Village 1",6,2,"core",114,"WHEAT FLOUR-WHITE","Yes",12,"Kgs",900,"Yes",5,"Kgs",2,"Yes","Yes",1,12,2,75,70,81.66297,1,5,.8333333,408.3148,68.05247,5.557168,33.34301
"0011","Village 1",6,2,"core",707,"KALE-SUKUMA WIKI","Yes",8,"Pcs",20,"Yes",8,"Pcs",3,"Yes","Yes",.8,6.4,1.066667,8.33,46.66667,54.44198,.8,6.4,1.066667,348.4287,58.07145,5.557168,33.34301
"0011","Village 1",6,2,"core",507,"COOKING OIL","Yes",1,"Ltrs",180,"Yes",1,"Ltrs",4,"Yes","Yes",1,1,.1666667,180,160,186.6582,1,1,.1666667,186.6582,31.1097,5.557168,33.34301
"0011","Village 1",6,2,"core",1001,"COMMON SALT","Yes",1,"Cup",20,"Yes",1,"Cup",,"Yes","No",.5,.5,.0833333,40,40,46.66455,.5,.5,.0833333,23.33228,3.888713,5.557168,33.34301
"0011","Village 1",6,2,"core",102,"NON AROMATIC (UNBROKEN) WHITE RICE","Yes",2,"Kgs",200,"No",,,,,,1,2,.3333333,100,80,93.32911,,,,0,0,5.557168,33.34301
"0011","Village 1",6,2,"core",112,"COST OF MILLING","No",,,,,,,,,,,,,,30,34.99842,,,,0,0,5.557168,33.34301
"0012","Village 1",6,1,"core",149,"PASTA (SPAGHETTI, MACARONI, NOODLES E.G. INDOMIE)","No",,,,"Yes",999.9999,"Grams",,"Yes","No",,,,,140,163.3259,.001,1,.1666667,163.3259,27.22099,5.557168,33.34301
"0012","Village 1",6,1,"core",301,"FRESH FISH","No",,,,"Yes",8,"Pcs",1,"Yes","Yes",,,,,300,349.9842,.5,4,.6666667,1399.937,233.3228,5.557168,33.34301
"0012","Village 1",6,1,"core",211,"OFFALS (MATUMBO)","Yes",5,"Pcs",50,"Yes",5,"Pcs",1,"Yes","Yes",.5,2.5,.4166667,33.33,240,279.9873,.5,2.5,.4166667,699.9683,116.6614,5.557168,33.34301
"0012","Village 1",6,1,"core",112,"COST OF MILLING","Yes",,,80,,,,,,,,,,,30,34.99842,,,,0,0,5.557168,33.34301
