hhid,hhsize,familysize1,familysize2,familysize3,familysize4,familysize5,s1q2,s1q5,s6q1,s6q2,s6q3,s6q4,s6q5,s6q6,s6q7,s6q8,s6q9,s6q11,s6q13,s6q14,s7q1,s7q2,s7q3,s7q4,s7q5,s7q6,s7q7,s7q8,s7q9,s7q10,s7q11,s7q12,s7q13,s7q14,s7q15,s7q16,s7q17,s7q18,s7q19,s7q20,s8q1,s8q2,s8q3,s8q4,s8q4_1,s8q4_2,s8q4_3,s8q5,s8q6,s9q1,s10q1,s10q2,s10q3,s10q4,s10q5,s10q6,s10q7,s10q8,s10q9,s11q1,s11q1_a,s11q2,s11q2_a,s11q3,s11q3_a,s11q4,s11q4_a,s11q5,s11q5_a,s11q6,s11q6_a,s11q7,s11q7_a,s11q8,s11q8_a,s11q9,s11q9_a,s11q10,s11q10_a,crowdindex_room,improved_water,improved_sanitation,LCS_index,asset_idx,hh_fcon,hh_nfcon,hh_con,hh_con2011,hh_con2011_pd,pline_ipl,poorIPL,pgi,spg,weight,popweight
"0010",5,5,0,0,0,0,"Village 1","Yes",2,2,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Flush to somewhere else","Yes","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Strongly agree","Agree","Neither agree nor disagree","Agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Yes","Yes",,"No","No, because I did not have this asset to sell.","Yes",,"No","No, because I did not have this asset to sell.","Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","improved sanitation","Crisis",-.88854659,2964.5994,1714.9703,4679.5698,82.80928,2.7224967,1.9,"Non-poor",0,0,5.5571685,27.785843
"0011",6,6,0,0,0,0,"Village 1","Yes",1,1,"Carpet","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","Yes","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly disagree","Agree","Agree","No","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","Yes",,"No","No, because it wasn't necessary.","Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","Yes",,"Yes",,"No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Emergency",-.06587699,1209.995,212.14282,1422.1378,25.166033,.82737643,1.9,"Poor",.60205311,.36246794,5.5571685,33.34301
"0012",6,6,0,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","No facility / Bush / Field",,"Solar Energy","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Agree","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Agree","Yes","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-1.2295018,3457.334,360.04529,3817.3794,67.552025,2.2208886,1.9,"Non-poor",0,0,5.5571685,33.34301
"0014",14,14,0,0,0,0,"Village 1","Yes",1,2,"Earth / Sand","Corrugated iron sheets","Stone with lime / cement","Public tap / Stand pipe","No","No facility / Bush / Field",,"None","No",0,"No","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","No","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Stress",.40847507,797.80316,130.71596,928.51917,16.430998,.54019719,1.9,"Poor",.71765137,.51502347,5.5571685,77.800362
"0015",2,1,1,0,0,0,"Village 1","Yes",1,1,"Cement","Corrugated iron sheets","Stone with lime / cement","Public tap / Stand pipe","No","Pit latrine with slab","Yes","Battery lamp/Torch/Phone","No",0,"Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","Yes","No","No","Yes","No","No","No","Strongly agree","Agree","Disagree","Agree","Strongly agree","Strongly disagree","Agree","Agree","Yes","Yes",,"No","No, because I did not have this asset to sell.","Yes",,"No","No, because it wasn't necessary.","Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","Yes",,"No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","improved sanitation","Crisis",2.0953598,17277.66,2709.1169,19986.777,353.68436,11.627978,1.9,"Non-poor",0,0,5.5571685,11.114337
"0021",6,6,0,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","Pit latrine with slab","No","None","No",0,"No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Disagree","Strongly disagree","Agree","Strongly disagree","Agree","Agree","Agree","Neither agree nor disagree","No","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","Yes",,"No","Not applicable","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","Yes",,"No","No, because I did not have this asset to sell.","Yes",,"More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Emergency",-.05682662,1736.6414,987.00031,2723.6416,48.197334,1.5845699,1.9,"Poor",.28396925,.08063854,5.5571685,33.34301
"0025",1,1,0,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","No facility / Bush / Field",,"Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Agree","Strongly disagree","Disagree","Strongly agree","Agree","Agree","Disagree","Neither agree nor disagree","Yes","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","1 - 2 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-.87213391,4258.4951,140.80257,4399.2979,77.849602,2.5594389,1.9,"Non-poor",0,0,5.5571685,5.5571685
"0031",4,4,0,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field","Yes","None","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Yes","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-1.2295018,2304.5,245.4205,2549.9204,45.12318,1.4835018,1.9,"Poor",.22209729,.04932721,5.5571685,22.228674
"0033",2,2,0,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Solar Energy","No",0,"No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No",,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Yes","No","No, because it wasn't necessary.","Yes",,"No","No, because I did not have this asset to sell.","Yes",,"Yes",,"No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Crisis",-.05682662,3900.8306,930.94403,4831.7749,85.502678,2.8110471,1.9,"Non-poor",0,0,5.5571685,11.114337
"0034",5,5,0,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","No","Solar Energy","No",0,"No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Yes","No","No, because it wasn't necessary.","Yes",,"No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Crisis",-.05682662,2100.5681,273.97003,2374.5381,42.019627,1.3814672,1.9,"Poor",.33428982,.11174969,5.5571685,27.785843
