ind_unique,hhid,indid,s1q2,s1q5,s2q7a,s2q8,s2q18,s2q11,s2q12,s2q13,s4q1,s4q2,s4q3,s4q4,s4q5,s4q6,s4q7,s4q8,s4q9,s5q1,s5q2,s5q3,s5q4,s5q5,s5q6,s5q7,s5q8,s5q9,s5q10,s5q11,s5q12,s5q13_1,s5q13_2,s5q13_3,s5q14,s5q14_b,s5q15,s5q16,s5q17,s5q18,s5q19,s5q20,s5q21,s5q22,s5q23,s5q24,s5q25,s9q2,s9q2_a,s9q3,s9q3_a,s9q4,s9q5,s9q6,s9q7,hhsize,famnum,famsize,speak_arabic,speak_english,speak_swahili,speak_other,read_arabic,read_english,read_swahili,read_other,write_arabic,write_english,write_swahili,write_other,weight
"001001","0010","01","Village 1","Yes","Yes","Yes","Yes","Female","35 to 39","South Sudan","Yes","No",,"Primary","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes",,,,,,,,,,,,,,,,,,,,,0,,"Yes – a lot of difficulty","No","No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes",,,"yes","yes",,,,"yes",,,,5.5571685
"001002","0010","02","Village 1","Yes","No","No","No","Female","10 to 14","South Sudan","Yes","Yes","Secondary",,"Yes","Yes","Yes","Yes","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes","yes",,"yes",,"yes",,,,"yes",,,5.5571685
"001003","0010","03","Village 1","Yes","No","No","No","Male","05 to 09","South Sudan","Yes","Yes","Primary",,"Yes","Yes","Yes","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes – a lot of difficulty","No","No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes","yes",,"yes",,"yes",,,,"yes",,,5.5571685
"001004","0010","04","Village 1","Yes","No","No","No","Female","05 to 09","South Sudan","Yes","Yes","Primary",,"Yes","Yes","Yes","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes","yes",,"yes",,"yes",,,,"yes",,,5.5571685
"001005","0010","05","Village 1","Yes","No","No","No","Female","00 to 04","South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,,,,,,,,,,,,,5.5571685
"001101","0011","01","Village 1","Yes","Yes","No","Yes","Female","45 to 49","South Sudan","No",,,,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,"No","No",,,,"Other (specify)",,"Would not be available","Sickness / injury",,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","Yes – some difficulty","No – no difficulty","No – no difficulty",6,1,6,"yes",,,"yes",,,,,,,,,5.5571685
"001102","0011","02","Village 1","Yes","No","Yes","No","Male","20 to 24","South Sudan","Yes","Yes","Secondary",,"Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes",,,,,,,,,,,,,,,,,,,,,1,"Informal Sector (Self-Employed)","No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","Yes – some difficulty",6,1,6,"yes","yes","yes",,,"yes",,,,"yes",,,5.5571685
"001103","0011","03","Village 1","Yes","No","No","No","Male","15 to 19","South Sudan","Yes","Yes","Primary",,"Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,"No","No",,,,"Full time student / pupil",,"Would not be available","Full time student / pupil",,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",6,1,6,"yes","yes",,"yes",,"yes",,"yes",,"yes",,"yes",5.5571685
"001104","0011","04","Village 1","Yes","No","No","No","Male","15 to 19","South Sudan","Yes","Yes","Primary",,"Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,"No","No",,,,"Full time student / pupil",,"Would not be available","Full time student / pupil",,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",6,1,6,"yes","yes","yes","yes",,"yes",,,,"yes",,,5.5571685
"001105","0011","05","Village 1","Yes","No","No","No","Male","15 to 19","South Sudan","Yes","Yes","Primary",,"Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,"No","No",,,,"Full time student / pupil",,"Would not be available","Full time student / pupil",,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",6,1,6,"yes","yes",,"yes",,"yes",,,,"yes",,,5.5571685
"001106","0011","06","Village 1","Yes","No","No","No","Male","10 to 14","South Sudan","Yes","Yes","Primary",,"Yes","Yes","Yes","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",6,1,6,"yes","yes",,,,"yes",,,,"yes",,,5.5571685
"001201","0012","01","Village 1","Yes","Yes","Yes","Yes","Female","30 to 44","South Sudan","No",,,,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,"No","No",,,,"Housewife / family responsibilities",,"Would not be available","Pregnancy",,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","Yes – a lot of difficulty","No – no difficulty","No – no difficulty",6,1,6,"yes",,,"yes",,,,,,,,,5.5571685
"001202","0012","02","Village 1","Yes","No","No","No","Female","10 to 14","South Sudan","Yes","Yes","Primary",,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","Yes – some difficulty","No – no difficulty","No – no difficulty",6,1,6,"yes","yes",,"yes",,,,,,,,,5.5571685
"001203","0012","03","Village 1","Yes","No","No","No","Female","10 to 14","South Sudan","Yes","Yes","Primary",,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","Yes – some difficulty","No – no difficulty","No – no difficulty",6,1,6,"yes",,,"yes",,,,,,,,,5.5571685
"001204","0012","04","Village 1","Yes","No","No","No","Female","05 to 09","South Sudan","Yes","Yes","Early childhood education",,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","Yes – some difficulty","No – no difficulty","No – no difficulty",6,1,6,"yes",,,"yes",,,,,,,,,5.5571685
"001205","0012","05","Village 1","Yes","No","No","No","Male","05 to 09","South Sudan","Yes","Yes","Early childhood education",,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","Yes – some difficulty","No – no difficulty",6,1,6,,,,"yes",,,,,,,,,5.5571685
"001206","0012","06","Village 1","Yes","No","No","No","Female","00 to 04","South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","Yes – some difficulty","Yes – some difficulty","No – no difficulty",6,1,6,,,,,,,,,,,,,5.5571685
"001401","0014","01","Village 1","Yes","Yes","Yes","Yes","Female","30 to 44","South Sudan","No",,,,"Yes","No","No","No","No","No","No","No","No","No","Yes",,,,,,,,,,,,,,,,,,,,,0,,"No – no difficulty",,"No – no difficulty",,"Yes – some difficulty","No – no difficulty","No – no difficulty","No – no difficulty",14,1,14,"yes",,,"yes",,,,,,,,,5.5571685
