hhid,s1q2,hhsize,hhmod,mod_opt,item_name,g_recall,s12q9,s12q10,s12q11,nfcons_value,nfcons_value_capita,weight,popweight
"0010","Village 1",5,1,"core","MEN'S TROUSERS","3 months","Yes",38.8889,"Yes",38.88889,7.777778,5.557168,27.78584
"0010","Village 1",5,1,"core","WOMEN'S RUBBER SANDALS/SLIPPERS","3 months","Yes",23.3333,"Yes",23.33333,4.666667,5.557168,27.78584
"0010","Village 1",5,1," option 1","MEN'S RUBBER SANDALS/SLIPPERS","3 months","Yes",23.3333,"Yes",23.33333,4.666667,5.557168,27.78584
"0010","Village 1",5,1,"core","BOY'S TROUSERS/SHORTS","3 months","Yes",23.3333,"Yes",23.33333,4.666667,5.557168,27.78584
"0010","Village 1",5,1,"core","WATER- WATER SERVICE PROVIDER","1 month","No",,"Yes",0,0,5.557168,27.78584
"0010","Village 1",5,1,"core","VACCINES","1 month","Yes",23.3333,"Yes",23.33333,4.666667,5.557168,27.78584
"0010","Village 1",5,1,"core","MATERIAL FOR WOMEN'S CLOTHING","3 months","Yes",116.667,"Yes",116.6667,23.33333,5.557168,27.78584
"0010","Village 1",5,1,"core","BLANKETS","1 year","No",,"Yes",0,0,5.557168,27.78584
"0010","Village 1",5,1,"core","CARPETS AND MATS","1 year","No",,"Yes",0,0,5.557168,27.78584
"0010","Village 1",5,1,"core","UMBRELLAS","1 month","No",,"Yes",0,0,5.557168,27.78584
"0010","Village 1",5,1," option 1","VITAMINS","1 month","Yes",35,"Yes",35,7,5.557168,27.78584
"0010","Village 1",5,1,"core","FEVER/PAIN KILLERS E.G. PARACETAMOL","1 month","Yes",11.6667,"Yes",11.66667,2.333333,5.557168,27.78584
"0010","Village 1",5,1,"core","COOKING SUFURIAS/COOKING POTS","1 year","No",,"Yes",0,0,5.557168,27.78584
"0010","Village 1",5,1,"core","TORCHES","1 year","Yes",4.80439,"Yes",4.804393,.9608786,5.557168,27.78584
"0010","Village 1",5,1,"core","WOMEN'S BLOUSES(TOP)","3 months","Yes",15.5556,"Yes",15.55556,3.111111,5.557168,27.78584
